SEGMENTATION_GRP,ABC_GRP,N_h,n_h,w_h
Erratic,A,208,208,1.0
Erratic,B,5,5,1.0
Erratic,Unknown,8,8,1.0
Intermittent,A,2738,1579,1.734008866371121
Intermittent,B,3868,1579,2.449651678277391
Intermittent,C,151780,1579,96.12412919569347
Intermittent,Unknown,12832,1579,8.12666244458518
Lumpy,A,1653,1579,1.0468651044965167
Lumpy,B,962,962,1.0
Lumpy,C,7238,1579,4.583913869537682
Lumpy,Unknown,1142,1142,1.0
Smooth,A,259,259,1.0
Smooth,B,12,12,1.0
Smooth,C,2,2,1.0
Smooth,Unknown,14,14,1.0
Unknown,A,1,1,1.0
Unknown,B,103,103,1.0
Unknown,C,33071,1579,20.94426852438252
Unknown,Unknown,3887,1579,2.461684610512983
