R6 — Per-(Seg x ABC) bootstrap CI on rho
(B=200, seed=42, min n_skus=30)

     segment     abc  n_skus  rho_point  rho_lo  rho_hi  n_boot_valid
      Smooth       A     259      0.318  -0.291   0.783           200
      Smooth       B      12        NaN     NaN     NaN             0
      Smooth       C       2        NaN     NaN     NaN             0
      Smooth Unknown      14        NaN     NaN     NaN             0
     Erratic       A     208      0.200  -0.691   0.573           200
     Erratic       B       5        NaN     NaN     NaN             0
     Erratic       C       0        NaN     NaN     NaN             0
     Erratic Unknown       8        NaN     NaN     NaN             0
Intermittent       A    1579      0.936   0.290   0.964           200
Intermittent       B    1579      0.973   0.454   1.000           200
Intermittent       C    1579      0.736  -0.228   0.864           200
Intermittent Unknown    1579      0.500   0.190   0.936           200
       Lumpy       A    1579      0.118  -0.418   0.900           200
       Lumpy       B     962     -0.082  -0.810   0.455           200
       Lumpy       C    1579      0.691  -0.655   0.909           200
       Lumpy Unknown    1142      0.973  -0.273   1.000           200
     Unknown       A       1        NaN     NaN     NaN             0
     Unknown       B     103      0.655   0.036   0.973           200
     Unknown       C    1579      0.509   0.172   0.927           200
     Unknown Unknown    1579      0.427   0.145   0.927           200
